,instant,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
instant,1.0,0.4040457208710286,0.8660140489946193,0.4891638307722482,-0.004774814643935383,0.0147234942130663,0.001356820065460095,-0.0034155592119182988,-0.014197603299216866,0.13617800734755184,0.13761461018452611,0.009576773993503731,-0.07450453969595212,0.15829540104166423,0.2820457773944356,0.27837869391745607
season,0.4040457208710286,1.0,-0.01074248620783637,0.8303858922042007,-0.006116900866197277,-0.009584525869199757,-0.0023353497250483174,0.013743101747057609,-0.014523552139127392,0.31202523725739406,0.31937981095888296,0.15062474540392665,-0.14977275116521144,0.12020644735002643,0.17422563340236116,0.17805573098267666
yr,0.8660140489946193,-0.01074248620783637,1.0,-0.010472928816713587,-0.003867004949336636,0.006691616608159586,-0.004484851244110416,-0.002196005414260543,-0.019156853236267972,0.040913379511655794,0.03922159459595063,-0.0835464208834433,-0.008739532933447973,0.1427785283292424,0.2536843098071665,0.2504948988596486
mnth,0.4891638307722482,0.8303858922042007,-0.010472928816713587,1.0,-0.005771908829883752,0.01843032523294527,0.010400061080362026,-0.0034769217948592375,0.005399521906107939,0.20169149360986804,0.20809613091746956,0.16441144337578856,-0.13538632320501096,0.0684573007487595,0.12227296677306461,0.12063776021315144
hr,-0.004774814643935383,-0.006116900866197277,-0.003867004949336636,-0.005771908829883752,1.0,0.0004791360364798635,-0.003497739438328404,0.0022849981041432148,-0.020202528398648747,0.13760349386560944,0.13374996473160827,-0.2764978279048564,0.13725156750094258,0.30120173025653485,0.37414070983776343,0.3940714977829419
holiday,0.0147234942130663,-0.009584525869199757,0.006691616608159586,0.01843032523294527,0.0004791360364798635,1.0,-0.10208779083596176,-0.25247136958183775,-0.017036113360590303,-0.027340476921091452,-0.03097273698121887,-0.010588464952625344,0.0039876315751622765,0.031563628373959395,-0.047345424408473356,-0.03092730324911062
weekday,0.001356820065460095,-0.0023353497250483174,-0.004484851244110416,0.010400061080362026,-0.003497739438328404,-0.10208779083596176,1.0,0.0359550713984442,0.003310739703927734,-0.0017949269841721937,-0.008820944779345238,-0.03715826821855927,0.011501545297833784,0.03272141548201988,0.02157788847299748,0.026899859990839558
workingday,-0.0034155592119182988,0.013743101747057609,-0.002196005414260543,-0.0034769217948592375,0.0022849981041432148,-0.25247136958183775,0.0359550713984442,1.0,0.044672223797483215,0.055390317057236536,0.05466723464014178,0.01568751235078408,-0.01182978935650118,-0.3009424860259183,0.13432579113379473,0.030284367747910726
weathersit,-0.014197603299216866,-0.014523552139127392,-0.019156853236267972,0.005399521906107939,-0.020202528398648747,-0.017036113360590303,0.003310739703927734,0.044672223797483215,1.0,-0.10263993557969305,-0.10556310792661805,0.41813032875180217,0.026225652487410493,-0.15262788466438976,-0.12096551971789847,-0.14242613813809568
temp,0.13617800734755184,0.31202523725739406,0.040913379511655794,0.20169149360986804,0.13760349386560944,-0.027340476921091452,-0.0017949269841721937,0.055390317057236536,-0.10263993557969305,1.0,0.9876721390396439,-0.06988139105119422,-0.023125262485332743,0.45961564554484974,0.33536084904299546,0.4047722757786579
atemp,0.13761461018452611,0.31937981095888296,0.03922159459595063,0.20809613091746956,0.13374996473160827,-0.03097273698121887,-0.008820944779345238,0.05466723464014178,-0.10556310792661805,0.9876721390396439,1.0,-0.05191769599336787,-0.06233604268695713,0.45408006533291106,0.3325586354051024,0.40092930412663563
hum,0.009576773993503731,0.15062474540392665,-0.0835464208834433,0.16441144337578856,-0.2764978279048564,-0.010588464952625344,-0.03715826821855927,0.01568751235078408,0.41813032875180217,-0.06988139105119422,-0.05191769599336787,1.0,-0.29010489506386306,-0.3470280928399272,-0.2739331184919315,-0.32291074082456006
windspeed,-0.07450453969595212,-0.14977275116521144,-0.008739532933447973,-0.13538632320501096,0.13725156750094258,0.0039876315751622765,0.011501545297833784,-0.01182978935650118,0.026225652487410493,-0.023125262485332743,-0.06233604268695713,-0.29010489506386306,1.0,0.09028677509691822,0.08232084736312635,0.09323378392612537
casual,0.15829540104166423,0.12020644735002643,0.1427785283292424,0.0684573007487595,0.30120173025653485,0.031563628373959395,0.03272141548201988,-0.3009424860259183,-0.15262788466438976,0.45961564554484974,0.45408006533291106,-0.3470280928399272,0.09028677509691822,1.0,0.5066177004294651,0.6945640779749468
registered,0.2820457773944356,0.17422563340236116,0.2536843098071665,0.12227296677306461,0.37414070983776343,-0.047345424408473356,0.02157788847299748,0.13432579113379473,-0.12096551971789847,0.33536084904299546,0.3325586354051024,-0.2739331184919315,0.08232084736312635,0.5066177004294651,1.0,0.9721507308642957
cnt,0.27837869391745607,0.17805573098267666,0.2504948988596486,0.12063776021315144,0.3940714977829419,-0.03092730324911062,0.026899859990839558,0.030284367747910726,-0.14242613813809568,0.4047722757786579,0.40092930412663563,-0.32291074082456006,0.09323378392612537,0.6945640779749468,0.9721507308642957,1.0
