,Age,Overall,Potential,Value,Wage,Special,International Reputation,Weak Foot,Skill Moves,Jersey Number,Joined,Contract Valid Until,Height,Weight,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Best Overall Rating
Age,1.0,0.4508460972332,-0.2104006825229469,0.08485700442573228,0.07606143990769941,0.2280176605469892,0.2505366163054795,0.07524690309812061,-0.019224857881295767,-0.25525158375278556,-0.2240629425429361,-0.06449058358092506,0.07956810744902751,0.22394318625147647,0.13005231339700468,0.05900997240903951,0.13496932709403164,0.1245671399617837,0.12918522061540452,-0.0017179713158881446,0.1327790344378241,0.1894274774494401,0.17730910018548077,0.0775908415834815,-0.17261225063549984,-0.16730624454681353,-0.02019745768519087,0.4518115641501457,-0.1012509873974474,0.14684904221029146,0.1667005949809703,0.0726834541469617,0.33040186065133176,0.14323898404056395,0.25879331200769196,0.19268751554315758,0.0702528076241515,0.18592253961012703,0.12406762363821665,0.35027113250614494,0.1308194984980395,0.116967377698183,0.0968026523461207,0.10594944950167523,0.11373096395454173,0.11053624250878445,0.12202911440893066,0.10755331362149205,0.45054891956454696
Overall,0.4508460972332,1.0,0.6963893998290566,0.5995733855434786,0.39274524951108886,0.61035799436946,0.49482366979748943,0.22121520642160028,0.24875667634869503,-0.2130416603363944,-0.17321577913567038,0.02184134027883693,0.05021854499377201,0.13869572631454535,0.3945065336976364,0.32279979644343004,0.3399539936195334,0.4929006214044419,0.38123016038704277,0.3621566922290247,0.41295782487509003,0.39342441964889396,0.47831968933646607,0.45827112523086116,0.2163917480393884,0.230657957264683,0.2813207485680277,0.8286637030951709,0.09189641291274021,0.4363300139800915,0.28984681380938027,0.36738598931040173,0.3693722152794797,0.4136369032567902,0.40543255043333715,0.3227103449925073,0.35049340937304013,0.484523679220216,0.33276619611150127,0.6078062737517269,0.2384158154244909,0.251016129658559,0.21785935361513895,-0.02650048991707435,-0.02008313436441707,-0.031106117640495427,-0.018534933336042475,-0.021980439957292736,0.9917122078578149
Potential,-0.2104006825229469,0.6963893998290566,1.0,0.5637923234258079,0.37323133274470294,0.4155484541760887,0.38577602729251453,0.1722479934811154,0.23088299858653127,-0.004989839908793863,-0.04602512046112719,0.0757298317977509,0.013363297510189128,-0.008278354441363737,0.26043535461158773,0.24865720236694117,0.2186338385599159,0.38170043917526886,0.2649111202689616,0.32479655029139654,0.293341901177954,0.24133227537831,0.33676308239973574,0.3707229913547697,0.2688225446992549,0.2765162589706496,0.24521566112403148,0.5215686686688884,0.1369456839687178,0.3045835439655962,0.15725983979602476,0.24242598586144354,0.11944835075212214,0.28031118747732625,0.20463799003971012,0.17509527520093193,0.25957144708996877,0.34552206948201414,0.23081433244000696,0.37250889864268216,0.1346188802729252,0.15815624168911535,0.14075033548205,-0.05634059802053839,-0.05445580669886967,-0.06645354403588573,-0.0577315884008745,-0.05456258142085781,0.6856318098440842
Value,0.08485700442573228,0.5995733855434786,0.5637923234258079,1.0,0.7460557256129295,0.3367564083198284,0.7058532526127691,0.1549838502644101,0.2073716145357462,-0.08726072531681081,-0.13051401890300696,0.0916457045190221,0.0250219245568202,0.048571157798294,0.20927751362893607,0.22163450647587163,0.15229753175207125,0.27918350388794605,0.2506736355846378,0.2274737471361741,0.24599327650824415,0.2286299144156388,0.26127123793324,0.2638789577510906,0.16001859715188493,0.1617347560889374,0.18216853367789082,0.5045586197347085,0.08226215036970472,0.23972178641242514,0.14074610845291818,0.18366543276076036,0.13990511677468453,0.23963212751256172,0.15747282292185205,0.11713459045449248,0.2229046066090716,0.3170397673600279,0.20979927403068252,0.35761652810429356,0.05534334808832727,0.08239544979320844,0.06402851878347224,0.003033523363596279,0.007297826217057683,-0.0006700657433222244,0.0038794318139443815,0.004729470379491994,0.5845185300562531
Wage,0.07606143990769941,0.39274524951108886,0.37323133274470294,0.7460557256129295,1.0,0.22166677222671244,0.624738495266475,0.08978251025606765,0.13198069228472198,-0.05814491976818368,-0.11487181878013523,0.08062739031213333,0.026432386148187277,0.04710016595364455,0.14041694849255792,0.14000541905488623,0.11726378046366479,0.17995118143352257,0.16905622692083505,0.14197404471738245,0.16128922683784744,0.14800625369069428,0.1726337238789006,0.16668460996533999,0.07868227417010373,0.07801266485215001,0.08996963206883643,0.3430083632622898,0.03987516784764423,0.15298821115960193,0.09836178518251762,0.11534198404887169,0.0912215172452104,0.15251182663191948,0.11293502628303698,0.09608674753391906,0.14450129931875766,0.2100012374026162,0.14333953937713834,0.26074251755660427,0.057096295354162406,0.07536908799348128,0.06589285730949729,-0.0029644153261679453,1.0138275187332974e-05,-0.004523124966981814,-0.0021078475546740514,-0.00278436495951707,0.37811544926606255
Special,0.2280176605469892,0.61035799436946,0.4155484541760887,0.3367564083198284,0.22166677222671244,1.0,0.2818246535399384,0.35258715870981,0.6233789759986698,-0.12864754673970494,-0.05657399160012319,0.0010159834916434454,-0.36549248180027594,-0.27046653574497465,0.8626723441496009,0.7027048399925094,0.6478811174381247,0.9021808764360771,0.7590059790587451,0.859608519426848,0.8438949238458493,0.8041772798285353,0.8473234062476742,0.9056299903925454,0.6529266654813976,0.6494175418573155,0.691312139766539,0.5801107258885818,0.563128036377416,0.8295673808288822,0.31222444719683257,0.7911407825929135,0.1937067581892769,0.8304225967201299,0.6698088485201306,0.5618073570355118,0.8082120492307304,0.7592999792109677,0.7250925615689983,0.7578349555487921,0.5021138067724294,0.5377579024552854,0.5060559258459085,-0.6685847254109285,-0.664189375680895,-0.6650295525746068,-0.6642559756214996,-0.6661751319301867,0.6401925158774512
International Reputation,0.2505366163054795,0.49482366979748943,0.38577602729251453,0.7058532526127691,0.624738495266475,0.2818246535399384,1.0,0.12623866947959753,0.1445095054088558,-0.07133990850268893,-0.1549914411267614,0.016906464393038414,0.05029659794121173,0.08815098241393697,0.17956513031449792,0.1688520896258272,0.15364652377136587,0.22847666980253561,0.22961170736307837,0.16595445080857282,0.21468933578339378,0.20893585415770233,0.22423960025802359,0.205063542217814,0.051903682917192016,0.055104503774908574,0.10294566861501475,0.43061216854214823,0.03683432220035353,0.2150040395168502,0.13234663809460895,0.10204355155175561,0.1461100145047743,0.1988804767578067,0.16441710041572058,0.1222207193083827,0.17372914981691817,0.264119359703824,0.20887494094500383,0.35484925189099165,0.06750761589278835,0.09031733444974167,0.07537410971975855,0.007657881151702295,0.010008682019948945,0.002917513801964792,0.010968515188178757,0.00863235777032525,0.481395970177865
Weak Foot,0.07524690309812061,0.22121520642160028,0.1722479934811154,0.1549838502644101,0.08978251025606765,0.35258715870981,0.12623866947959753,1.0,0.3350638892692471,-0.03334225117326301,-0.01042725942501606,0.01954997410784133,-0.18111641356936417,-0.14292337326644886,0.32282172231646633,0.36415575978189874,0.1886297887713156,0.33632094049302924,0.3674587166300907,0.36379932305147084,0.3562888294414623,0.34213558284046885,0.29279776137632346,0.3676144887554348,0.26689084714017114,0.2521401049912375,0.3107926826090985,0.20180615869885327,0.2595971837242367,0.333991310653148,0.06994884313272787,0.23599908413849782,-0.008652995688413897,0.3654378310469139,0.1321677475672774,0.057977332473803135,0.35625286462571204,0.34950006982978343,0.3398624936099352,0.3139332329449249,0.026404919844172633,0.04296718316096318,0.026126774957846523,-0.23800246507173714,-0.23564472943738723,-0.23306601913652247,-0.23457105197661446,-0.23726407506273522,0.2343183502821556
Skill Moves,-0.019224857881295767,0.24875667634869503,0.23088299858653127,0.2073716145357462,0.13198069228472198,0.6233789759986698,0.1445095054088558,0.3350638892692471,1.0,0.009007920844962389,0.06598059386125374,0.002239173610074152,-0.4285677902316515,-0.3784954574606048,0.6443337736719629,0.7152172530218488,0.3851033684703934,0.624852327550375,0.700786520125557,0.7607336168971776,0.6884386390690783,0.6338776502705038,0.5100899295807232,0.725189238311395,0.6209053887483181,0.5976930348610697,0.6391415805475714,0.21903802205149608,0.5468403664724756,0.6402365553073497,0.035849264468086985,0.46583638548523065,-0.12040683903114106,0.6802288484629847,0.22972673835925536,0.06810342796035995,0.7186256071778463,0.5880521027003667,0.6624175579010657,0.49036175164852275,0.032443120348930994,0.07043926919125516,0.04149612954773362,-0.6091517693785465,-0.6053921173249209,-0.6052187550237936,-0.607054186533691,-0.6078742200004322,0.2781427245327833
Jersey Number,-0.25525158375278556,-0.2130416603363944,-0.004989839908793863,-0.08726072531681081,-0.05814491976818368,-0.12864754673970494,-0.07133990850268893,-0.03334225117326301,0.009007920844962389,1.0,0.12320088160442187,0.048959150217487736,-0.03558248227421618,-0.0896396419854097,-0.07298082669985977,-0.004608139401470121,-0.08932245879581004,-0.09163837448590646,-0.022811489658659357,-0.0238883029590759,-0.05411675506942145,-0.06974710906677314,-0.11273362785970657,-0.07019018607426693,-0.0011126883707246649,-0.00589131420424618,-0.02873080344315485,-0.18275381740560767,0.014976219653153003,-0.053047253423608776,-0.11427961146448486,-0.11804595281102791,-0.1610558616170164,-0.04345038841011812,-0.14106938528750437,-0.1491618233316957,-0.029834985324206902,-0.0769512234221673,-0.018799497771050572,-0.13498876077571026,-0.12771421096868926,-0.12414212921524252,-0.11260656002843226,0.0029870251409118203,-0.0005133391716686629,0.0007566629123439203,-0.00476023931501454,-0.0004934103371098211,-0.21170741871188625
Joined,-0.2240629425429361,-0.17321577913567038,-0.04602512046112719,-0.13051401890300696,-0.11487181878013523,-0.05657399160012319,-0.1549914411267614,-0.01042725942501606,0.06598059386125374,0.12320088160442187,1.0,-0.026026962883859184,0.0011799984491712779,-0.028580323898185326,-0.01954968748106492,0.05015445549159884,0.014118186511059215,-0.02770353968154918,0.030867672075780513,0.042170687598470744,0.005720065257276632,0.0026157510362925813,-0.06582641671181495,0.010467199476208507,0.06789078678068516,0.06554969987444997,0.012829746547423738,-0.1564541063803984,0.01355188426520137,0.026290380620325616,-0.06785089903918669,-0.018830965661131464,-0.0663752620545374,0.015942633399571027,-0.05588514300218309,-0.09973315694540726,0.03597206688864815,-0.046579853333407736,0.04032894075533045,-0.07368144810152458,-0.09091573320484225,-0.08006857824581481,-0.07972815244141707,-0.09551031223177739,-0.09571344274798495,-0.09164496649469724,-0.0997115860970009,-0.09693236534876706,-0.17227515732478973
