iter	RMSE
0	6.632570081
1	6.28758473
2	5.961625698
3	5.663461942
4	5.366047658
5	5.088357244
6	4.838685322
7	4.600376158
8	4.375978293
9	4.166004595
10	3.975173893
11	3.78020962
12	3.596289907
13	3.427929214
14	3.273567824
15	3.120397582
16	2.979879424
17	2.846681704
18	2.714699177
19	2.597636531
20	2.476701941
21	2.371352473
22	2.265559464
23	2.171185224
24	2.082943654
25	1.998326664
26	1.922726144
27	1.847032351
28	1.776902347
29	1.710269242
30	1.647744155
31	1.586911582
32	1.531127483
33	1.479127942
34	1.432286636
35	1.384293261
36	1.340627048
37	1.299091391
38	1.257772706
39	1.220823885
40	1.18422187
41	1.153198618
42	1.124803003
43	1.098355998
44	1.072956597
45	1.049403058
46	1.027688418
47	1.006432802
48	0.9873308507
49	0.9669625461
50	0.9509479941
51	0.9348388793
52	0.9214420348
53	0.9050282297
54	0.8896662276
55	0.8760880854
56	0.8650199988
57	0.8550407986
58	0.8444330149
59	0.8343109452
60	0.8243974862
61	0.8158374504
62	0.807934621
63	0.7996928004
64	0.7914887426
65	0.7858647955
66	0.7790252442
67	0.7734688387
68	0.7682129029
69	0.762636532
70	0.7576601098
71	0.7531051674
72	0.7493649408
73	0.7451249871
74	0.7407167613
75	0.7358550571
76	0.7315805759
77	0.7277105761
78	0.7250369397
79	0.7223952549
80	0.7191372779
81	0.7171904828
82	0.7147010809
83	0.7111548441
84	0.7088183264
85	0.7055235078
86	0.7031017879
87	0.7006081014
88	0.6985056417
89	0.6957537943
90	0.6934539959
91	0.6918810811
92	0.6893435305
93	0.6867585201
94	0.6839927392
95	0.6820940847
96	0.6798203856
97	0.6784800944
98	0.676958654
99	0.6753753967
100	0.6731089812
101	0.6710847871
102	0.6694392115
103	0.6684958304
104	0.6668840431
105	0.6659592146
106	0.6646170674
107	0.6627734755
108	0.6600296675
109	0.6589245929
110	0.657677781
111	0.6562853707
112	0.6555441728
113	0.6543926884
114	0.6527943176
115	0.6522036523
116	0.6521359837
117	0.650174576
118	0.6484955281
119	0.6471798159
120	0.6460870445
121	0.6451261337
122	0.6443433619
123	0.642833312
124	0.6416425575
125	0.6412517774
126	0.6400631817
127	0.6392788935
128	0.6387250199
129	0.6372879872
130	0.6367259223
131	0.6360109602
132	0.6346586641
133	0.6336624245
134	0.6327480393
135	0.6324532089
136	0.6316458399
137	0.6314729854
138	0.6299333059
139	0.6292210818
140	0.6277502376
141	0.626847353
142	0.6262329379
143	0.6252488959
144	0.6246306689
145	0.6238591028
146	0.6228269416
147	0.6221905985
148	0.6215293643
149	0.6206902359
150	0.6196860027
151	0.6195980249
152	0.6193518404
153	0.6180341704
154	0.6168332302
155	0.6157152819
156	0.6153332626
157	0.6138493607
158	0.613292311
159	0.6125743797
160	0.6119618623
161	0.6113257997
162	0.6107853114
163	0.6094769625
164	0.6075124445
165	0.605926267
166	0.6047030423
167	0.6028670545
168	0.6021906727
169	0.600513874
170	0.6000841492
171	0.5982628902
172	0.59675405
173	0.5957571284
174	0.5953134562
175	0.594798845
176	0.5940977609
177	0.5933038932
178	0.5924957929
179	0.5912575133
180	0.590025545
181	0.5895337539
182	0.5888657815
183	0.5888033693
184	0.5880437947
185	0.5863931965
186	0.5852272808
187	0.5843999231
188	0.5834956883
189	0.5828473888
190	0.5827934564
191	0.581352746
192	0.5805139112
193	0.5803973594
194	0.5789058087
195	0.5788425227
196	0.5781412021
197	0.577325222
198	0.5764719115
199	0.5750574596
200	0.5735123741
201	0.5724098881
202	0.5716295197
203	0.5712206604
204	0.5711287872
205	0.5703896678
206	0.5692975383
207	0.5684914741
208	0.56787003
209	0.5678106279
210	0.5670800758
211	0.5660491468
212	0.5654846519
213	0.5654056872
214	0.5646408823
215	0.5637560506
216	0.5629992403
217	0.5629555893
218	0.5617499889
219	0.5611232577
220	0.5604153151
221	0.5598197874
222	0.5591771732
223	0.5586205984
224	0.5574396766
225	0.5568279888
226	0.5563195464
227	0.5552714368
228	0.5541579368
229	0.5533377486
230	0.5532216773
231	0.5524892029
232	0.5519951256
233	0.5514522555
234	0.5513510106
235	0.550869335
236	0.5498964413
237	0.5493396322
238	0.54843348
239	0.5476621989
240	0.5472019761
241	0.547108498
242	0.54660658
243	0.5456513603
244	0.5450454881
245	0.5442933811
246	0.5439672631
247	0.5430685348
248	0.5428541231
249	0.5418585561
250	0.5410419157
251	0.5404634545
252	0.5403627612
253	0.5395237629
254	0.53853991
255	0.5377676313
256	0.5370173505
257	0.5360023703
258	0.5351272091
259	0.5346580109
260	0.5341674486
261	0.534131262
262	0.533135746
263	0.5328691466
264	0.5321021725
265	0.5316141511
266	0.5307857671
267	0.5300266674
268	0.5295718927
269	0.5295378512
270	0.5290312537
271	0.5282226524
272	0.5281894481
273	0.5277061055
274	0.5272439052
275	0.5267933683
276	0.5267610688
277	0.5265255133
278	0.5257883714
279	0.5251168063
280	0.5242950452
281	0.5237676298
282	0.523142541
283	0.5227529735
284	0.521975184
285	0.5210750557
286	0.520436651
287	0.5197941755
288	0.5192413213
289	0.5188137725
290	0.5182457928
291	0.5176396008
292	0.5169589798
293	0.5163386726
294	0.5158760949
295	0.5153635054
296	0.5151322209
297	0.5147298138
298	0.5139655151
299	0.5130600606
300	0.5126585882
301	0.512095502
302	0.5117696206
303	0.5111650626
304	0.5109603353
305	0.5108014376
306	0.5104029151
307	0.5099573376
308	0.5097331799
309	0.5089297152
310	0.5085164469
311	0.5080484632
312	0.5076922796
313	0.5070987608
314	0.5069015948
315	0.5067703082
316	0.5061042778
317	0.5054663698
318	0.5050780299
319	0.5043128701
320	0.5035937677
321	0.5032041901
322	0.5029260564
323	0.5024527453
324	0.501893665
325	0.5013260567
326	0.5010384533
327	0.500703196
328	0.5004271263
329	0.5003968165
330	0.5000542745
331	0.4993264375
332	0.4991562428
333	0.4985818934
334	0.4982612392
335	0.4975255936
336	0.4972916725
337	0.4967320796
338	0.4967086567
339	0.4963007562
340	0.4961272191
341	0.495735651
342	0.4949356485
343	0.4942258308
