iter	Passed	Remaining
0	8	8168
1	15	7504
2	23	7869
3	28	7147
4	36	7357
5	44	7397
6	49	7026
7	55	6871
8	61	6736
9	66	6606
10	72	6507
11	77	6416
12	85	6461
13	90	6360
14	96	6367
15	101	6272
16	105	6101
17	111	6088
18	118	6103
19	124	6082
20	129	6035
21	134	5993
22	139	5938
23	147	5984
24	152	5937
25	157	5882
26	164	5931
27	169	5895
28	176	5920
29	183	5919
30	187	5867
31	194	5869
32	199	5833
33	206	5858
34	212	5866
35	217	5828
36	222	5788
37	226	5746
38	231	5714
39	237	5690
40	242	5670
41	248	5661
42	255	5675
43	261	5687
44	266	5665
45	272	5650
46	278	5651
47	284	5643
48	289	5625
49	296	5640
50	301	5601
51	307	5598
52	310	5544
53	329	5774
54	337	5791
55	343	5790
56	348	5764
57	353	5742
58	363	5804
59	370	5803
60	377	5807
61	381	5777
62	390	5803
63	395	5787
64	401	5771
65	409	5801
66	416	5793
67	422	5786
68	428	5778
69	434	5772
70	441	5774
71	448	5785
72	454	5771
73	457	5730
74	462	5708
75	466	5669
76	470	5643
77	475	5621
78	479	5595
79	487	5601
80	491	5573
81	496	5561
82	504	5579
83	511	5573
84	516	5558
85	521	5545
86	526	5520
87	531	5504
88	536	5490
89	541	5471
90	548	5480
91	554	5471
92	559	5453
93	564	5441
94	569	5425
95	575	5416
96	581	5410
97	585	5392
98	593	5405
99	602	5421
100	607	5407
101	613	5398
102	624	5441
103	630	5432
104	636	5424
105	641	5414
106	647	5402
107	653	5394
108	657	5378
109	663	5365
110	669	5359
111	672	5332
112	678	5323
113	684	5319
114	688	5300
115	692	5277
116	696	5258
117	705	5271
118	711	5268
119	715	5246
120	721	5244
121	725	5222
122	730	5206
123	737	5210
124	746	5226
125	750	5207
126	756	5201
127	763	5203
128	771	5207
129	776	5196
130	782	5188
131	787	5177
132	793	5174
133	801	5177
134	806	5165
135	809	5145
136	815	5139
137	818	5111
138	823	5101
139	830	5100
140	844	5147
141	852	5148
142	858	5142
143	863	5134
144	867	5116
145	873	5108
146	882	5120
147	890	5128
148	897	5125
149	905	5130
150	912	5128
151	916	5113
152	923	5114
153	929	5105
154	935	5098
155	940	5090
156	949	5099
157	956	5094
158	961	5085
159	965	5066
160	970	5058
161	976	5050
162	981	5039
163	987	5034
164	992	5023
165	999	5023
166	1005	5013
167	1017	5037
168	1022	5028
169	1028	5021
170	1035	5019
171	1041	5011
172	1046	5000
173	1050	4988
